N3,FIRES CELL,Fires,OP 3.1.2,3.1,Directs apportionment of assets and capabilities in accordance to plans.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.1 13.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,6.0,"Appeal theater strategic firepower assignments to JFC, as necessary.",,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.9  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,,Employ Coordination Measures,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.9 15 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,1,JFMCC FSCM approved and incorporated in HHQ FSCM.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.9 15.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,1.1,Submit Fire Support Coordination Measures (FSCM) to HHQ for review and approval.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.9 16 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,1.2,Direct creation of approved Battle Management Aids (BMAs) overlays.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.9 16.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,2,FSCM are developed per HHQ fires guidance.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.9 16.2 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,2.1,Direct development of JFMCC Fire Support Coordination Measures (FSCM).,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.5  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,3,"FSCM issued to higher, adjacent and subordinate commands.",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.5 12.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,3.1,Direct development of standardized process for FSCMs issuance to subordinate commands.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.5 13 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,3.2,Direct execution of FSCM issuances IAW standardized process.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.5 13.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,4,Identify and plan to minimize and mitigate collateral damage and effects.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.5 13.2 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,4.1,Direct the FSCM planning to include minimization and mitigate of collateral damage and effects,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,5,Coordinate to reduce instances of fratricide.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 2.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.7,5.1,Direct the FSCM planning to include reduction of fraticide,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 4.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.3,,Plan and Coordinate subordinate operations to Conduct Offensive Counterair (OCA),C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 5.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.3,17.0,Assess viability of targets for offensive counterair operations and coordinate engagement as applicable. ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 11.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.6,,Plan and Coordinate subordinate operations to Provide Fires,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.7  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.6,2.0,Conduct appropriate fires CFTs.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.7 7.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.6,3,Integrate employment of kinetic and non-kinetic capabilities to achieve lethal and non-lethal effects  ,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.7 8.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.6,3.1,Direct integration of kinetic and non-kinetic capabilities to achieve lethal and non-lethal effects  ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.3  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.6,10.0,Determine whether target attacks in support of operational maneuver cause fratricide.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.3 13.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.7,1.0,"Allocate and assign maritime forces for assigned targets, per JIPTL.",,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.3 14.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.7,10.0,Plan to mitigate friendly casualties by fratricide.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.3 15.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.7,11,Coordinate combined employment of kinetic and non-kinetic capabilities to achieve lethal and nonlethal effects. ,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.3 16.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.7,11.1,Directs the coordinated combined employment of kinetic and non-kinetic capabilities to achieve lethal and nonlethal effects,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.4  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,TA 3.3.1,,Coordinate Air Tasking Order,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.4 13.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,TA 3.3.1,6.0,Prioritize MOC and assigned forces Air support requests (AIRSUPREQ) based upon commander’s guidance and maritime scheme of maneuver.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.4 14.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,,Plan and Coordinate [Maritime] Targeting,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.4 15.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,1.0,"Research maritime, joint, US Government and allied kinetic and non-kinetic fires capabilities in development of Fires staff estimate.",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.4 16.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,2.0,Draft an initial fires staff estimate for campaign or operations.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,3.0,Incorporate multi-dimensional capabilities in both time and space as part of fires staff estimate.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6 11.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,4,Develop and provide priorities for additional threat system analysis to HHQ and Navy for coordination of Intelligence Community efforts.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6 12.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,4.1,Direct the development and provide priorities for additional threat system analysis to HHQ and Navy for coordination of Intelligence Community effort,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6 13.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,5,Coordinate with higher and adjacent components to develop an integrated targeting and fires plan.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.6 14.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,5.1,Presents MOC fires priorities to HHQ for inclusion and joint approval.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,5.2,Directs the incorporation of approved joint fires priorities into operational guidance and apportionment.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 1.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,11,Maintain available munitions information and provide critical munitions usage guidance.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 4 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,11.1,Direct process to collect and maintain munition information,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 4.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,11.2,Direct development of critical munitions usage guidance,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 6 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,11.3,Facilitate approval of critical munitions usage guidance,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 6.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,11.4,Direct promulgation of critical munitions usage guidance,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 12.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,12,Coordinate NIFE support.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,12.1,Direct determination of NIFE tasking,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 1.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,12.2,Facilitate approval of NIFE tasking,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 13.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,12.3,Direct promulgation of NIFE tasking,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 17 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,14.0,Complete a scheme of Fires that is integrated into the Commander’s campaign plan.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 17.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,21,Provide munitions usage estimates for reload planning.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 17.2 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1,21.1,Direct creation of munitions usage estimates for reload planning.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13,Provide and coordinate theater and national kinetic and non-kinetic capabilities to achieve lethal and  non-lethal effects as required to enable maneuver .,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 11.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.1,Direct collection of threat systems for targeting,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.3.3  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6,Integrate naval surface fires and aviation-delivered fires into planning.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.3.3 6 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6.1,Direct collection of available fires systems and capabilities to support the conduct of expeditionary operations,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.3.3 6.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6.2,Direct the collection of munitions available to support the conduct of expeditionary operations,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.3.3 9.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Protection,TA 3.2.7,,Plan and Coordinate subordinate operations to Conduct Missile Defense,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Protection,TA 3.2.7,13.0,Assess viability of targets for offensive counterair operations and coordinate engagement as applicable .,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2 8.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Protection,OP 6.1,,Plan and Coordinate subordinate operations to Provide Aerospace Defense,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2 9.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Protection,OP 6.1,16.0,Assess viability of targets for offensive counterair operations and coordinate engagement.  ,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2 10.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,2,Support JFMCC concept of operations and intent with fires apportionment planning.,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,2.1,Analyze JFMCC concept of operations and intent in regard to fires apportionment,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 15.0 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,2.2,Develop fires apportionment plan in support of JFMCC concept of operations and intent,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.1  C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,2.3,Submit developed fires apportionment plan for approval ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP5.3.1 17.0 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,4.0,"Assign maritime firepower resources, once targets identified during planning phase.",C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.4  C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,8,Ensure HPTs can be covered by at least one attack system.,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.4 13.0 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,,Plan and Coordinate [Maritime] Targeting,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1  C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,1.0,"Research maritime, joint, US Government and allied kinetic and non-kinetic fires capabilities in development of Fires staff estimate.",C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 4 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,5,Coordinate with higher and adjacent components to develop an integrated targeting and fires plan.,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 4.1 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,5.1,Create draft MOC targeting prioirities,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 4.2 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,5.2,Create draft fires priorities based upon approved targeting priorities and available capabilities and assets per the fires staff estimate ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 4.3 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,5.3,Create draft MOC scheme of fires,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 4.4 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,5.4,"Revise targeting priorities, fires priorities and scheme of fires based upon review and approval process",,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 5.0 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,5.5,Submit approved MOC targeting and fires for inclusion in HHQ plans,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,7.0,Request additional authorities and ROEs as required.,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.1 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3,"Integrate all warfare capabilities in operational planning (e.g. traditional and irregular warfare, conventional, information, EW, cyber, space) to affect the adversary.",C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.2 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3.4,Prepare integrated fires plan to affect adversary,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.3 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3.5,Submit integrated fires plan for approval,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.4 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,,Plan and Coordinate [Maritime] Targeting,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.5 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,1.0,"Research maritime, joint, US Government and allied kinetic and non-kinetic fires capabilities in development of Fires staff estimate.",C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.6 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1,3.0,Incorporate multi-dimensional capabilities in both time and space as part of fires staff estimate.,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.7 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,,Conduct Operations in Depth,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 10.8 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3.0,"Integrate all warfare capabilities in operational planning (e.g. traditional and irregular warfare, conventional, information, EW, cyber, space) to affect the adversary.",C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.1,,Identify Target Collection Requirements,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.1 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.1,7,Provide collection requirements and priorities to support target development and pre- and post-strike analysis.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.2 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.1,7.1,Provide collection requirements for TLAM target development,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.3 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.1,7.2,Provide collection requirements for TLAM pre strike analysis,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.4 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.1,7.3,Provide collections requirements for TLAM post strike analysis,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.5 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.2,,Conduct Target Development,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.6 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.2,2,Identify targets to achieve desired lethal or non-lethal effects through kinetic or non-kinetic capabilities .,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.7 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.2,2.1,Identify targets for TLAM target development,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.8 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.2,18,Plan and coordinate target development and supporting Tomahawk mission flight profiles.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 12.9 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Intelligence,OP 2.8.2,18.1,Prioritize targets for Tomahawk mission planning.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.1,,Develop Targeting Guidance,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13.1 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.1,12.0,Coordinate Tomahawk Strike Mission Planning Cell (TSMPC) targeteering and mission planning support to targeting.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13.2 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.1,13.0,Identify and coordinate targets that TLAM is a viable weapon of choice for desired effects.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13.3 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.9,15,Identify and coordinate targets that TLAM is a viable weapon of choice for desired effects.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13.4 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.9,15.1,Identify targets for TLAM servicing,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13.5 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.9,16.1,Plan TLAM firing unit launch positions,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 13.6 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.9,16.2,Coordinate unit firing locations with MOC WGs (protection and logisitics),,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.2.5,,Plan and Coordinate subordinate operations to Interdict Targets,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14.1 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.2.5,12.0,Identify and coordinate targets that TLAM is a viable weapon of choice for desired effects.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14.2 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.2.5,13,Plan and coordinate firing unit potential launch positions that are mutually supported or deconflicted with other missions.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14.3 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.2.5,13.1,Plan TLAM firing unit launch positions,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14.4 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.2.5,13.2,Coordinate unit firing locations with MOC WGs (protection and logisitics),,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14.5 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,,Apportion Fires,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 14.6 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,2.0,Support JFMCC concept of operations and intent with fires apportionment planning.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 15 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,4.0,"Assign maritime firepower resources, once targets identified during planning phase.",C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 15.1 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,5.0,Complete targeting cycle planning.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 15.2 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
N3,FIRES CELL,Fires,OP 3.1.2,11.0,Identify and coordinate targets that TLAM is a viable weapon of choice for desired effects.,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.7.1 15.3 C323,"Maritime Intelligence, Surveillance, and Reconnaissance Coordinator"
